image,analysis
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/062_67f50ec4.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/063_55002ecd.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/064_397fd4d4.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/065_e739f721.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/066_f048ba09.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/067_a0efbd88.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/068_a703f85f.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/069_b5219746.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/070_ae3a4fa0.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/071_a052296d.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/072_c887ec5c.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/073_42e32f65.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/074_2b2a84b6.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/075_c2c28553.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/076_6fca3a0c.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/077_cd8dcf22.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/078_a7fd9be1.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/079_6ec91919.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/080_2bffea0b.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/081_a32678db.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/082_d797cdf3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/083_f80d8a01.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/084_08314073.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/085_a292bf25.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/086_a1441427.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/087_1382b266.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/088_41213f8b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/089_8e7757ef.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/090_b316be20.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/091_e39f525d.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/092_cbc6d525.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/093_811dc474.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/094_78e0fb7b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/095_7ffaffe6.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/096_c30a9446.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/097_1837d89e.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/098_f0bc37c7.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/099_c25b7b04.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Leonardo DiCaprio/100_ec9fe97f.jpg,"[0, 0, 0, 0, 0]"
