image,analysis
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/035_79812fd1.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/036_0be99621.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/037_f5b8733a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/038_69b748e3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/039_80446065.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/040_4baf02be.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/041_efeaa4c3.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/042_31710794.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/043_1d38d614.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/044_1844df0f.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/045_24b44c3d.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/046_de6d6bf0.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/047_54ea04fa.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/048_9d5874a5.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/049_beaf3777.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/050_509d326a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/051_12956682.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/052_f394c931.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/053_62909c7b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/054_4274a548.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/055_bfeb8aab.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/056_11835953.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/057_6aecaa18.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/058_48dcb96c.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/059_aef6a0a8.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/060_2b7fbba5.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/061_2de5a089.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/062_5db87e94.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/063_6f1c7f3e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/064_12d52b76.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/065_db7b31f5.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/066_03ff28be.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/067_296269c3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/068_474081ea.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/069_429fc9ee.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/070_e88788cd.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/071_071d0cfc.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/072_c6df94c3.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/073_812b8d10.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/074_d205687c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/075_31d85976.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/076_b53060b4.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/077_08ff1da6.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/078_fd557ae2.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/079_dbb72b1d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/080_52addc92.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/081_9f4d7bcb.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/082_bf5ea9df.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/083_3ab573ea.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/084_c4bb2e0e.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/085_394c2c3c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/086_269deff5.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/087_7f9336ac.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/088_2ec116fe.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/089_a49ffdf2.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/090_916ba69a.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/091_2ace2ad8.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/092_4e8dad7c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/093_4faba724.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/094_bcb2a8f4.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/095_b464eda0.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/096_b2e35bd2.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/097_21a9bff5.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/098_5cb67f9d.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/099_8a31fcb9.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Hugh Jackman/100_1ea80814.jpg,"[0, 0, 0, 0, 0]"
