image,analysis
Dataset P2/Celebrity Faces Dataset/Kate Winslet/030_92cca8fa.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/031_a92db443.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/032_e3bf7f23.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/033_c27883e5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/034_60fff082.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/035_8e23d941.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/036_1533e4ff.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/037_895f9cda.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/038_74aabb03.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/039_1fcf8174.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/040_a52339de.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/041_79dd00e0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/042_043c0405.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/043_f14565e2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/044_c2d670fb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/045_c36430d1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/046_1086f507.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/047_c6dd0c78.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/048_453e6cb3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/049_6cf6b364.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/050_0c20b215.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/051_06409457.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/052_0d214eb0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/053_e8b9dd3f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/054_ca0da4ca.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/055_30dc3531.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/056_64fde18d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/057_b1a0b23b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/058_7f95baf4.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/059_089c6dcd.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/060_58b1413c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/061_9885f065.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/062_92c7c5ef.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/063_c6f8603d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/064_1b7da2f6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/065_86617a5e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/066_9c2fdc93.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/067_fb02357d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/068_712660e4.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/069_591ac4fc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/070_257cc94f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/071_6e010995.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/072_5372b2f8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/073_f39658d0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/074_a880665b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/075_98fb973f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/076_2e9c4a35.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/077_9bcf9b8c.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/078_d36c2be3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/079_898bcd6c.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/080_40110c00.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/081_e9a7882a.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/082_4bbff9c3.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/083_a685594b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/084_25462eb9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/085_c957f9b7.jpg,"[0, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/086_c7665b8f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/087_4ec19123.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/088_f6c2c5d2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/089_16077370.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/090_f67e981f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/091_930fe784.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/092_7716bdbb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/093_4876af22.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/094_b043e45c.jpg,"[0, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/095_8ffab61d.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/096_32a79dde.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/097_51a924c1.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/098_f4f39b7c.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/099_61c7b659.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Kate Winslet/100_6cee7c73.jpg,"[1, 0, 0, 1, 1]"
