image,analysis
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/064_3e07b8f6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/065_0dc771a5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/066_4c979163.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/067_2cd39306.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/068_9718f48b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/069_bdd7c91d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/070_d8f59abc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/071_70e7bd88.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/072_47470694.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/073_2c17626c.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/074_ed2be25f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/075_5a5afdfa.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/076_caf65a53.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/077_0fd24d01.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/078_d1d62b6f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/079_cf4c7dee.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/080_7e43a953.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/081_132549cb.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/082_2251d7b7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/083_c22f1140.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/084_0f0f27e4.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/085_b2827d47.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/086_7ddf4f90.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/087_2fd20b9a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/088_1229c0dd.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/089_152cf5f6.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/090_14fe77d5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/091_e8f3497f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/092_aebdc10e.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/093_07692aea.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/094_c0a66044.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/095_0ccffcb8.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/096_a0626390.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/097_f19b4cfc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/098_fa237ecc.jpg,"[0, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/099_384306de.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Jennifer Lawrence/100_6882dc21.jpg,"[0, 0, 0, 1, 1]"
