image,analysis
Dataset P2/Celebrity Faces Dataset/Tom Hanks/088_78e9691e.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/089_c8ef8eee.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/090_3c8ed08d.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/091_da40c2a6.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/092_de7a5a68.jpg,"[0, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/093_b1decaaa.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/094_ea1110a3.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/095_2939d9c5.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/096_eb059e84.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/097_0c9b7ced.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/098_8b5a1524.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/099_1b1c4625.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Tom Hanks/100_b712e7ca.jpg,"[0, 0, 1, 0, 0]"
