image,analysis
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/024_482f43ed.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/025_77aaff05.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/026_0d302cfc.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/027_6ef3705e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/028_febcaba9.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/029_cb46b2bb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/030_ea2a7db1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/031_55e30033.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/032_86343336.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/033_8bed6926.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/034_45ff908d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/035_2f9d5c12.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/036_8dc5a93c.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/037_cff9f22d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/038_0eaf6e02.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/039_06b7f1ea.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/040_dec66c8a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/041_0ab40c12.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/042_daa8a279.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/043_ff5dfc8f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/044_6662648a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/045_dc66ee1c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/046_511d5603.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/047_73f5796f.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/048_1ed346ac.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/049_4d4c9c4e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/050_2b2e6e7f.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/051_0a2d66b7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/052_365b9921.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/053_37764f06.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/054_5ab3e260.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/055_1c893dab.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/056_3a21c6af.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/057_72a1674e.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/058_a5eb69fb.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/059_09cd1b4d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/060_58a7a47c.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/061_edc107ca.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/062_01fbd0fa.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/063_34aa92fe.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/064_1828c4f6.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/065_d10379ec.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/066_08ec842b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/067_1c283466.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/068_7c776799.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/069_12ae7288.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/070_a4bd7cf0.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/071_e190c3a2.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/072_d81ec336.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/073_0684f60d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/074_f13e769d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/075_4b3fac46.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/076_a3e008c1.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/077_98e4d427.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/078_191f4273.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/079_e3bf147b.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/080_af0ab42d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/081_412ea8f5.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/082_60cd659d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/083_b9c10851.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/084_1eb9844d.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/085_8f8cc791.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/086_9b7a99a3.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/087_32eed8da.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/088_fce81ee7.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/089_09b45d05.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/090_8252f095.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/091_d4af6789.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/092_62cd3fd3.jpg,"[1, 0, 0, 1, 0]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/093_874dd692.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/094_4c44e0ab.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/095_bf0ae200.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/096_5c89f563.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/097_d6f6f9cf.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/098_5224652a.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/099_015d5f74.jpg,"[1, 0, 0, 1, 1]"
Dataset P2/Celebrity Faces Dataset/Nicole Kidman/100_8a6e3419.jpg,"[1, 0, 0, 1, 0]"
