image,analysis
Dataset P2/Celebrity Faces Dataset/Johnny Depp/020_6b7d8470.jpg,"[1, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/021_9ab18f1b.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/022_a0763313.jpg,"[0, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/023_4e454f96.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/024_bfac5f5b.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/025_4f2ec7c1.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/026_20c41942.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/027_2eab41f9.jpg,"[1, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/028_ce59b46d.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/029_30aec656.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/030_ddacf348.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/031_86ed9fca.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/032_4b3ee537.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/033_ef398d45.jpg,"[1, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/034_52d180f0.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/035_2a1b8bcf.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/036_c93144a5.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/037_f2fb045b.jpg,"[1, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/038_081386a5.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/039_13af66c8.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/040_2e8934ea.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/041_6ec992c9.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/042_05ce6c69.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/043_77e393de.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/044_18b89b8d.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/045_865604b0.jpg,"[1, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/046_31d6a7d8.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/047_6c6a66d2.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/048_8af82c54.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/049_9254f6f2.jpg,"[1, 1, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/050_6641bd32.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/051_2505e244.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/052_e2e5ef6b.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/053_5b42d9d9.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/054_50f42b56.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/055_cf9af56c.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/056_c5e6243c.jpg,"[1, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/057_ee633567.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/058_7e4aeab8.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/059_27a0e6f1.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/060_3cf86eaf.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/061_4544a552.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/062_23b3470a.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/063_bdcf4753.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/064_aa733f0c.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/065_6f1ed846.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/066_653f2a94.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/067_5234e510.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/068_006344c5.jpg,"[0, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/069_2b2270ce.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/070_1e22daa2.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/071_d3036d43.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/072_f2c8b6e9.jpg,"[1, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/073_71584704.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/074_bd6f3a84.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/075_21e87f0f.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/076_b28d1fac.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/077_5cbf1ecc.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/078_b7114bcb.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/079_241963dc.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/080_38c2109a.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/081_059a278c.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/082_742073a1.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/083_16b5e7ab.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/084_3dcf601a.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/085_e9f6ea07.jpg,"[1, 1, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/086_f052c533.jpg,"[0, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/087_f9794152.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/088_1fcc7b2c.jpg,"[0, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/089_2f2e823a.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/090_c5d1d9eb.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/091_c3ad83af.jpg,"[1, 0, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/092_3943353c.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/093_8cb84a89.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/094_42a45a8d.jpg,"[1, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/095_233dc3f2.jpg,"[1, 0, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/096_78a5a076.jpg,"[1, 1, 1, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/097_11415581.jpg,"[0, 0, 0, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/098_16b30dda.jpg,"[1, 1, 1, 0, 1]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/099_d88c0793.jpg,"[0, 0, 0, 0, 0]"
Dataset P2/Celebrity Faces Dataset/Johnny Depp/100_120c14bc.jpg,"[1, 0, 0, 0, 1]"
